movie_id_x,movie_title_x,original_title,runtime_minutes,averagerating,numvotes,primary_genre,movie_id2,id,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross
tt6850820,peppermint,peppermint,101.0,6.5,35854,action,peppermint2018,21,2018-09-07,25000000,35418723,51800758,16382035
tt6857112,us,us,116.0,7.1,102511,horror,us2019,88,2019-03-22,20000000,175006930,254210310,79203380
tt6998518,mandy,mandy,121.0,6.6,44378,action,mandy2018,71,2018-09-14,6000000,1214525,1427656,213131
tt7002100,coco,coco,98.0,7.4,35,horror,coco2017,2,2017-11-22,175000000,209726015,798008101,588282086
tt7137380,destroyer,destroyer,121.0,6.2,13683,action,destroyer2018,5,2018-12-25,9000000,1533324,3681096,2147772
tt7153766,unsane,unsane,98.0,6.4,32049,drama,unsane2018,70,2018-03-23,1500000,7690044,14244931,6554887
tt7349662,blackkklansman,blackkklansman,135.0,7.5,149005,biography,blackkklansman2018,21,2018-08-10,15000000,49275340,93017335,43741995
tt7690670,superfly,superfly,116.0,5.0,4753,action,superfly2018,49,2018-06-13,16000000,20537137,20723581,186444
tt7752126,brightburn,brightburn,90.0,6.5,12515,horror,brightburn2019,13,2019-05-24,7000000,16794432,27989498,11195066
tt7784604,hereditary,hereditary,127.0,7.3,151571,drama,hereditary2018,56,2018-06-08,10000000,44069456,70133905,26064449
tt7785302,spotlight,spotlight,99.0,8.0,12,drama,spotlight2015,34,2015-11-06,20000000,45055776,92088460,47032684
tt7958736,ma,ma,99.0,6.0,5322,horror,ma2019,66,2019-05-31,5000000,36049540,44300625,8251085
tt9024106,unplanned,unplanned,106.0,6.3,5945,biography,unplanned2019,33,2019-03-29,6000000,18107621,18107621,0
