release_date_x,movie_title_x,production_budget,domestic_gross,worldwide_gross,release_year_x,foreign_gross,movie_id,original_language,popularity,vote_average,vote_count,primary_genre
2011-05-06,thor,150000000,181030624,449326618,2011,268295994,thor20110506,en,38.068,6.7,12764,adventure
2015-05-15,mad max: fury road,150000000,153636354,370098020,2015,216461666,madmaxfuryroad20150515,en,28.099,7.4,14454,action
2018-03-29,ready player one,150000000,137690172,579290136,2018,441599964,readyplayerone20180329,en,30.029,7.6,7021,adventure
2010-07-01,the last airbender,150000000,131772187,319713881,2010,187941694,thelastairbender20100701,en,16.595,4.6,2143,action
2012-05-11,dark shadows,150000000,79727149,238202668,2012,158475519,darkshadows20120511,en,15.75,5.9,4197,comedy
2013-06-28,white house down,150000000,73103784,205440387,2013,132336603,whitehousedown20130628,en,13.026,6.4,2817,action
2010-02-12,the wolfman,150000000,62189884,142634358,2010,80444474,thewolfman20100212,en,14.03,5.7,1009,horror
2017-02-17,the great wall,150000000,45157105,334486852,2017,289329747,thegreatwall20170217,en,19.144,5.8,2775,action
2015-10-09,pan,150000000,35088320,151525973,2015,116437653,pan20151009,en,13.054,5.9,1701,adventure
2011-03-11,mars needs moms,150000000,21392758,39549758,2011,18157000,marsneedsmoms20110311,en,8.852,5.7,299,adventure
2012-06-08,madagascar 3: europe's most wanted,145000000,216391482,746921271,2012,530529789,madagascar3europesmostwanted20120608,en,18.705,6.5,3380,animation
2014-06-13,how to train your dragon 2,145000000,177002924,614586270,2014,437583346,howtotrainyourdragon220140613,en,27.106,7.7,5589,fantasy
2014-03-07,mr. peabody & sherman,145000000,111506430,269806430,2014,158300000,mrpeabodysherman20140307,en,12.813,6.6,1357,animation
2012-11-21,rise of the guardians,145000000,103412758,306900902,2012,203488144,riseoftheguardians20121121,en,14.934,7.3,3697,animation
2016-07-15,ghostbusters,144000000,128350574,229008658,2016,100658084,ghostbusters20160715,en,16.079,5.4,3780,action
2011-07-22,captain america: the first avenger,140000000,176654505,370569776,2011,193915271,captainamericathefirstavenger20110722,en,25.808,6.9,12810,action
2016-01-29,kung fu panda 3,140000000,143528619,517599142,2016,374070523,kungfupanda320160129,en,16.248,6.7,2944,action
2014-12-12,exodus: gods and kings,140000000,65014513,268314513,2014,203300000,exodusgodsandkings20141212,en,26.789,5.7,2909,adventure
2016-07-01,the bfg,140000000,55483770,199646680,2016,144162910,thebfg20160701,en,20.08,6.2,1916,adventure
2016-02-26,gods of egypt,140000000,31153464,138836756,2016,107683292,godsofegypt20160226,en,18.517,5.4,2353,action
2012-11-16,"the twilight saga: breaking dawn, part 2",136200000,292324737,829724737,2012,537400000,thetwilightsagabreakingdawnpart220121116,en,16.542,6.3,5130,adventure
2013-03-22,the croods,135000000,187168425,573068425,2013,385900000,thecroods20130322,en,16.29,6.8,3873,action
2015-12-25,the revenant,135000000,183637894,532938302,2015,349300408,therevenant20151225,en,19.41,7.4,11064,western
2016-06-03,teenage mutant ninja turtles: out of the shadows,135000000,82051601,245328374,2016,163276773,teenagemutantninjaturtlesoutoftheshadows20160603,en,15.096,5.9,1860,action
2018-11-02,the nutcracker and the four realms,132900000,54858851,170293899,2018,115435048,thenutcrackerandthefourrealms20181102,en,26.235,6.0,909,fantasy
2014-11-26,penguins of madagascar,132000000,83350911,366942531,2014,283591620,penguinsofmadagascar20141126,en,20.899,6.4,2273,family
2013-11-22,the hunger games: catching fire,130000000,424668047,864868047,2013,440200000,thehungergamescatchingfire20131122,en,20.187,7.4,11170,adventure
2007-08-03,the bourne ultimatum,130000000,227471070,444043396,2007,216572326,thebourneultimatum20070803,en,15.62,7.4,4440,action
2018-07-06,ant-man and the wasp,130000000,216648740,623144660,2018,406495920,antmanandthewasp20180706,en,44.729,7.0,6290,action
2015-07-17,ant-man,130000000,180202163,518858449,2015,338656286,antman20150717,en,32.715,7.1,11949,science_fiction
2015-03-27,home,130000000,177397510,385997896,2015,208600386,home20150327,en,12.835,6.8,2372,fantasy
2018-12-19,mary poppins returns,130000000,171958438,341528518,2018,169570080,marypoppinsreturns20181219,en,30.419,6.6,1457,fantasy
2011-10-28,puss in boots,130000000,149260504,554987477,2011,405726973,pussinboots20111028,en,9.078,6.3,1422,action
2014-04-11,rio 2,130000000,131538435,492846291,2014,361307856,rio220140411,en,18.11,6.3,1803,adventure
2010-07-23,salt,130000000,118311368,290650494,2010,172339126,salt20100723,en,13.025,6.3,3240,action
2014-03-28,noah,130000000,101200044,352831065,2014,251631021,noah20140328,en,13.905,5.6,3955,drama
2013-05-31,after earth,130000000,60522097,251499665,2013,190977568,afterearth20130531,en,14.415,5.1,4154,science_fiction
2013-07-19,r.i.p.d.,130000000,33618855,79076678,2013,45457823,ripd20130719,en,21.377,5.6,2047,fantasy
2017-03-03,logan,127000000,226277068,615461394,2017,389184326,logan20170303,en,45.0,7.8,12330,action
2014-12-19,night at the museum: secret of the tomb,127000000,113746621,353756621,2014,240010000,nightatthemuseumsecretofthetomb20141219,en,20.064,6.1,3536,adventure
2014-11-21,the hunger games: mockingjay - part 1,125000000,337135885,766575131,2014,429439246,thehungergamesmockingjaypart120141121,en,33.837,6.8,10087,science_fiction
2014-08-08,teenage mutant ninja turtles,125000000,191204754,485004754,2014,293800000,teenagemutantninjaturtles20140808,en,25.619,5.8,4259,science_fiction
2011-12-16,sherlock holmes: a game of shadows,125000000,186848418,535663443,2011,348815025,sherlockholmesagameofshadows20111216,en,18.301,7.1,6380,adventure
2017-03-31,the boss baby,125000000,175003033,510878762,2017,335875729,thebossbaby20170331,en,7.445,6.4,4314,animation
2016-11-04,trolls,125000000,153707064,344150134,2016,190443070,trolls20161104,en,16.286,6.6,1880,adventure
2012-06-08,prometheus,125000000,126477084,402448265,2012,275971181,prometheus20120608,en,24.98,6.4,7384,science_fiction
2012-08-10,the bourne legacy,125000000,113203870,280355920,2012,167152050,thebournelegacy20120810,en,18.05,6.1,3630,action
2018-07-13,skyscraper,125000000,68420120,304115534,2018,235695414,skyscraper20180713,en,26.229,6.1,2177,action
2012-08-03,total recall,125000000,58877969,211856088,2012,152978119,totalrecall20120803,en,17.243,5.9,3486,action
2017-01-13,monster trucks,125000000,33370166,61642798,2017,28272632,monstertrucks20170113,en,8.827,5.9,414,action
2016-07-29,jason bourne,120000000,162192920,416168316,2016,253975396,jasonbourne20160729,en,14.568,6.1,3611,action
2012-11-21,life of pi,120000000,124987022,620912003,2012,495924981,lifeofpi20121121,en,15.0,7.3,8723,adventure
2018-04-13,rampage,120000000,101028233,428056280,2018,327028047,rampage20180413,en,24.238,6.2,3176,action
2013-08-09,elysium,120000000,93050117,286192091,2013,193141974,elysium20130809,en,17.663,6.4,5406,science_fiction
2017-03-24,power rangers,120000000,85364450,142531552,2017,57167102,powerrangers20170324,en,15.865,6.2,2667,action
2014-02-12,robocop,120000000,58607007,242981799,2014,184374792,robocop20140212,en,17.851,5.8,3390,action
2015-08-07,fantastic four,120000000,56117548,167849187,2015,111731639,fantasticfour20150807,en,16.36,4.4,3837,action
2010-12-17,how do you know?,120000000,30212620,49628177,2010,19415557,howdoyouknow20101217,en,6.753,5.1,453,comedy
2010-06-23,knight and day,117000000,76423035,258751370,2010,182328335,knightandday20100623,en,17.713,6.0,2494,action
2018-10-05,venom,116000000,213511408,853628605,2018,640117197,venom20181005,en,44.007,6.6,6206,science_fiction
2010-12-25,gulliver's travels,112000000,42779261,232017848,2010,189238587,gulliverstravels20101225,en,10.768,5.1,1282,comedy
2017-12-15,ferdinand,111000000,84410380,289847930,2017,205437550,ferdinand20171215,en,19.479,7.1,1425,animation
2013-10-04,gravity,110000000,274092705,693698673,2013,419605968,gravity20131004,en,27.836,7.2,9586,science_fiction
2015-05-29,san andreas,110000000,155190832,456258539,2015,301067707,sanandreas20150529,en,27.414,6.1,5125,action
2011-07-29,the smurfs,110000000,142614158,563749323,2011,421135165,thesmurfs20110729,en,16.533,5.6,2112,animation
2014-03-07,300: rise of an empire,110000000,106580051,330780051,2014,224200000,300riseofanempire20140307,en,23.68,6.0,3870,action
2016-12-21,passengers,110000000,100014699,302239672,2016,202224973,passengers20161221,en,14.074,6.8,7869,drama
2010-06-11,the a-team,110000000,77222099,177241171,2010,100019072,theateam20100611,en,17.097,6.3,2703,thriller
2013-07-31,the smurfs 2,110000000,71017784,348547523,2013,277529739,thesmurfs220130731,en,12.941,5.7,1200,fantasy
2013-11-01,ender's game,110000000,61737191,127983283,2013,66246092,endersgame20131101,en,15.533,6.6,3558,science_fiction
2017-03-31,ghost in the shell,110000000,40563557,167910690,2017,127347133,ghostintheshell20170331,en,21.308,6.0,5128,action
2015-10-02,the martian,108000000,228433663,655271443,2015,426837780,themartian20151002,en,22.856,7.7,12172,drama
2016-11-23,allied,106000000,40098064,119266661,2016,79168597,allied20161123,en,19.611,6.7,2765,action
2016-07-22,ice age: collision course,105000000,64063008,402156682,2016,338093674,iceagecollisioncourse20160722,en,18.233,5.9,2430,adventure
2017-09-22,kingsman: the golden circle,104000000,100234838,408803696,2017,308568858,kingsmanthegoldencircle20170922,en,24.337,7.0,5531,action
2018-03-09,a wrinkle in time,103000000,100478608,133401882,2018,32923274,awrinkleintime20180309,en,12.529,5.0,1073,adventure
2018-12-21,bumblebee,102000000,127195589,465195589,2018,338000000,bumblebee20181221,en,43.078,6.5,2425,action
2012-10-26,cloud atlas,102000000,27108272,130673154,2012,103564882,cloudatlas20121026,en,14.681,6.8,4505,drama
2012-12-25,django unchained,100000000,162805434,449948323,2012,287142889,djangounchained20121225,en,21.26,8.0,15725,drama
2010-08-06,the other guys,100000000,119219978,170936470,2010,51716492,theotherguys20100806,en,13.508,6.2,2187,action
2004-12-17,lemony snicket's a series of unfortunate events,100000000,118627117,212956024,2004,94328907,lemonysnicketsaseriesofunfortunateevents20041217,en,14.362,6.8,2975,adventure
2013-12-25,the wolf of wall street,100000000,116900694,389870414,2013,272969720,thewolfofwallstreet20131225,en,29.518,7.9,12411,crime
2013-05-24,epic,100000000,107518682,262794441,2013,155275759,epic20130524,en,13.995,6.4,1670,animation
2012-08-17,the expendables 2,100000000,85028192,311979256,2012,226951064,theexpendables220120817,en,17.216,6.2,4219,action
2014-07-25,hercules,100000000,72688614,243388614,2014,170700000,hercules20140725,en,23.922,5.6,2606,action
2010-12-10,the tourist,100000000,67631157,278731369,2010,211100212,thetourist20101210,en,10.307,6.1,3133,action
2010-09-24,legend of the guardians: the owls of ga'hoole,100000000,55675313,139716717,2010,84041404,legendoftheguardianstheowlsofgahoole20100924,en,10.754,6.6,1223,animation
2014-08-15,the expendables 3,100000000,39322544,209461378,2014,170138834,theexpendables320140815,en,18.797,6.1,2876,action
2017-10-20,geostorm,100000000,33700160,220796009,2017,187095849,geostorm20171020,en,13.653,5.8,2246,action
2015-12-25,point break,100000000,28782481,126704591,2015,97922110,pointbreak20151225,en,9.435,5.6,1260,action
2015-12-11,in the heart of the sea,100000000,25020758,89693309,2015,64672551,intheheartofthesea20151211,en,14.33,6.6,2137,thriller
2018-12-14,mortal engines,100000000,15951040,85287417,2018,69336377,mortalengines20181214,en,40.095,6.0,1751,adventure
2018-11-21,robin hood,99000000,30824628,84747441,2018,53922813,robinhood20181121,en,39.975,5.8,1194,adventure
2017-05-19,alien: covenant,97000000,74262031,238521247,2017,164259216,aliencovenant20170519,en,24.651,5.9,4971,horror
2015-03-13,cinderella,95000000,201151353,534551353,2015,333400000,cinderella20150313,en,29.056,6.7,4517,romance
2012-07-13,ice age: continental drift,95000000,161321843,879765137,2012,718443294,iceagecontinentaldrift20120713,en,17.537,6.3,4598,animation
2010-05-27,sex and the city 2,95000000,95347692,294680778,2010,199333086,sexandthecity220100527,en,9.986,5.9,809,comedy
2012-08-10,the campaign,95000000,86907746,104907746,2012,18000000,thecampaign20120810,en,10.266,5.7,982,comedy
2010-11-12,unstoppable,95000000,81562942,165720921,2010,84157979,unstoppable20101112,en,14.01,6.4,1913,action
2016-08-19,ben-hur,95000000,26410477,91669648,2016,65259171,benhur20160819,en,10.11,5.6,1068,action
2015-02-06,seventh son,95000000,17725785,108874967,2015,91149182,seventhson20150206,en,22.856,5.3,1549,adventure
2015-02-13,kingsman: the secret service,94000000,128261724,404561724,2015,276300000,kingsmanthesecretservice20150213,en,26.103,7.6,10287,crime
2013-02-14,a good day to die hard,92000000,67349198,304249198,2013,236900000,agooddaytodiehard20130214,en,15.858,5.2,4437,action
2013-12-25,the secret life of walter mitty,91000000,58236838,187861183,2013,129624345,thesecretlifeofwaltermitty20131225,en,10.743,7.1,4859,adventure
2017-12-20,jumanji: welcome to the jungle,90000000,404508916,964496193,2017,559987277,jumanjiwelcometothejungle20171220,en,20.395,6.7,7213,action
2011-04-15,rio,90000000,143619809,487519809,2011,343900000,rio20110415,en,14.695,6.6,3730,animation
