movie_id_x,movie_title_x,original_title_x,runtime_minutes,genres,averagerating,numvotes,primary_genre_x,movie_id2,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count
tt4849438,baahubali 2: the conclusion,baahubali 2: the conclusion,167.0,"action,drama",8.3,65656,action,baahubali2theconclusion2017,"28, 18",350312,te,10.406,2017-04-27,7.0,252
tt4851054,diary of a deadbeat: the story of jim vanbebber,diary of a deadbeat: the story of jim vanbebber,107.0,"action,documentary,drama",7.3,22,action,diaryofadeadbeatthestoryofjimvanbebber2015,99,381562,en,0.6,2015-08-27,7.0,2
tt4851270,black holler,black holler,99.0,"comedy,horror",7.1,10,comedy,blackholler2017,"35, 27",450103,en,0.6,2017-04-24,10.0,1
tt4851630,maheshinte prathikaaram,maheshinte prathikaaram,120.0,"comedy,drama,thriller",8.3,4563,comedy,maheshinteprathikaaram2016,"35, 18",381691,ml,2.72,2016-02-12,7.7,20
tt4853102,batman: the killing joke,batman: the killing joke,76.0,"action,animation,crime",6.5,42932,action,batmanthekillingjoke2016,"28, 16, 80, 18",382322,en,9.595,2016-07-21,6.3,879
tt4853154,bill nye: science guy,bill nye: science guy,101.0,documentary,5.8,796,documentary,billnyescienceguy2017,99,438468,en,1.4,2017-04-10,5.4,12
tt4855188,holy ghost reborn,holy ghost reborn,103.0,documentary,8.6,92,documentary,holyghostreborn2015,99,380964,en,0.632,2015-10-13,10.0,1
tt4855748,xoxo,xoxo,92.0,"drama,music",5.3,6068,drama,xoxo2016,"10402, 18",352492,en,8.134,2016-08-26,5.9,389
tt4859032,the ouija exorcism,the ouija exorcism,87.0,horror,2.2,426,horror,theouijaexorcism2015,27,363844,en,2.703,2015-10-06,4.2,19
tt4859034,slammed!,slammed!,98.0,"action,thriller",3.8,13,action,slammed2016,"53, 28",444480,es,0.664,2016-03-01,3.0,2
tt4862468,a chinese odyssey: part three,a chinese odyssey: part three,93.0,fantasy,3.6,323,fantasy,achineseodysseypartthree2016,"12, 35, 10751, 14",389201,zh,2.67,2016-08-01,8.5,3
tt4862506,the holly kane experiment,the holly kane experiment,103.0,thriller,5.0,631,thriller,thehollykaneexperiment2017,18,450100,en,3.375,2017-03-25,5.7,13
tt4863386,camino,camino,80.0,"comedy,crime",7.5,57,comedy,camino2016,"53, 28, 12",359025,en,2.432,2016-03-04,5.0,28
tt4864624,hollow in the land,hollow in the land,92.0,"drama,mystery,thriller",5.6,1235,drama,hollowintheland2017,"9648, 18, 53",352491,en,2.907,2017-12-08,5.5,28
tt4865436,hate story 3,hate story 3,126.0,"drama,thriller",4.5,2718,drama,hatestory32015,"53, 18",361131,hi,1.555,2015-12-15,5.7,17
tt4866214,mind and machine,mind and machine,70.0,"crime,sci-fi,thriller",3.1,171,crime,mindandmachine2017,"80, 878, 53",456897,en,0.6,2017-03-26,4.8,4
tt4866448,most beautiful island,most beautiful island,80.0,"drama,horror,thriller",5.7,2418,drama,mostbeautifulisland2017,"18, 53, 27",438436,en,5.411,2017-11-03,5.3,45
tt4867110,swiped,swiped,93.0,comedy,4.4,662,comedy,swiped2018,"35, 18",535437,en,4.025,2018-11-06,5.8,11
tt4868300,daddy's boy,daddy's boy,78.0,drama,3.1,107,drama,daddysboy2016,18,399416,en,0.708,2016-03-03,4.3,3
tt4871980,the perfect match,the perfect match,96.0,"comedy,romance",4.9,3052,comedy,theperfectmatch2016,"35, 10749",378200,en,6.875,2016-03-11,5.5,78
tt4872078,the intervention,the intervention,90.0,"comedy,drama",6.1,5212,comedy,theintervention2016,"35, 18",351242,en,6.982,2016-08-26,6.1,97
tt4872162,countdown,countdown,90.0,"action,crime,mystery",4.9,1418,action,countdown2016,"53, 28, 80, 9648",388862,en,4.243,2016-04-05,5.1,40
tt4872206,veggietales: noah's ark,veggietales: noah's ark,52.0,"adventure,animation,family",6.0,48,adventure,veggietalesnoahsark2015,"16, 10751",326278,en,0.6,2015-02-28,8.0,1
tt4872260,ridge runners,ridge runners,81.0,"crime,drama,thriller",3.8,140,crime,ridgerunners2018,"80, 18, 53",499692,en,1.626,2018-01-19,2.5,2
tt4872896,mono,mono,88.0,comedy,6.5,1138,comedy,mono2016,35,405388,ru,1.772,2016-07-08,4.9,26
tt4874298,madly,madly,106.0,"drama,romance",6.1,104,drama,madly2016,18,390329,en,6.289,2016-04-14,5.0,1
tt4874812,"die, my dear","die, my dear",90.0,"drama,horror,thriller",5.6,104,drama,diemydear2017,"18, 53, 27",463780,en,0.643,2017-06-08,4.0,1
tt4875456,best and most beautiful things,best and most beautiful things,90.0,documentary,6.2,140,documentary,bestandmostbeautifulthings2016,99,381021,en,1.315,2016-12-02,6.0,3
tt4875550,in search of the ultra-sex,a la recherche de l'ultra-sex,60.0,"adventure,comedy,sci-fi",5.8,192,adventure,insearchoftheultrasex2015,35,346564,fr,1.4,2015-09-28,6.9,7
tt4875652,money back guarantee,money back guarantee,104.0,"drama,thriller",5.2,20,drama,moneybackguarantee2016,"53, 18",463504,en,0.6,2016-11-05,3.0,1
tt4875844,the 24 hour war,the 24 hour war,99.0,"documentary,history",7.3,758,documentary,the24hourwar2016,99,359093,en,1.05,2016-11-20,7.3,9
tt4875962,the spearhead effect,the spearhead effect,90.0,thriller,4.7,237,thriller,thespearheadeffect2017,53,451004,en,2.79,2017-01-01,7.5,6
tt4876094,stop,seu-top,85.0,drama,5.4,59,drama,stop2015,18,338130,en,0.6,2015-01-23,9.0,1
tt4876952,ripped,ripped,97.0,comedy,4.8,1285,comedy,ripped2017,35,352494,en,1.952,2017-06-23,4.8,22
tt4877122,the emoji movie,the emoji movie,86.0,"adventure,animation,comedy",3.2,47294,adventure,theemojimovie2017,"16, 10751, 35",378236,en,14.88,2017-07-23,5.4,1447
tt4878482,dumplin',dumplin',110.0,"comedy,drama,musical",6.7,20032,comedy,dumplin2018,"35, 18",472734,en,13.221,2018-12-07,7.1,658
tt4879412,love different,love different,94.0,comedy,6.2,52,comedy,lovedifferent2016,35,464519,en,0.6,2016-04-29,1.0,1
tt4881430,strip club massacre,strip club massacre,101.0,"horror,thriller",5.9,1168,horror,stripclubmassacre2017,"53, 27",452037,en,1.119,2017-05-02,4.4,7
tt4881806,jurassic world: fallen kingdom,jurassic world: fallen kingdom,128.0,"action,adventure,sci-fi",6.2,219125,action,jurassicworldfallenkingdom2018,"28, 12, 878",351286,en,34.958,2018-06-22,6.5,5995
tt4882376,first they killed my father,first they killed my father,136.0,"biography,drama,history",7.2,10511,biography,firsttheykilledmyfather2017,"18, 36, 10752",433247,en,7.979,2017-09-15,7.5,249
tt4882708,hidden light,hidden light,93.0,drama,6.3,143,drama,hiddenlight2018,18,512911,en,2.33,2018-02-16,10.0,1
tt4882824,the scientist: are we missing something?,the scientist: are we missing something?,62.0,"biography,documentary,history",9.1,31,biography,thescientistarewemissingsomething2015,99,518003,en,1.388,2015-11-08,10.0,1
tt4887028,den of darkness,den of darkness,91.0,"horror,thriller",3.4,191,horror,denofdarkness2016,"27, 53",398470,en,1.36,2016-02-20,3.1,4
tt4894198,death pool,death pool,95.0,thriller,3.3,131,thriller,deathpool2017,53,460914,en,0.799,2017-06-20,4.2,5
tt4896178,the dark side of disney,the dark side of disney,90.0,documentary,5.5,10,documentary,thedarksideofdisney2015,99,348001,en,0.6,2015-08-16,9.5,4
tt4897358,the raking,the raking,97.0,horror,3.3,343,horror,theraking2017,27,445602,en,2.435,2017-03-07,5.5,10
tt4897822,where to invade next,where to invade next,120.0,"comedy,documentary",7.5,21497,comedy,wheretoinvadenext2015,99,352208,en,7.181,2015-12-23,7.4,250
tt4898730,temple,temple,78.0,"adventure,drama,horror",3.6,3384,adventure,temple2017,"36, 27",467239,en,7.186,2017-09-01,3.9,88
tt4899370,megan leavey,megan leavey,116.0,"biography,drama,war",7.1,18993,biography,meganleavey2017,"18, 10752",424488,en,9.839,2017-06-09,7.1,378
tt4900018,keith richards: under the influence,keith richards: under the influence,81.0,"documentary,music",7.1,2406,documentary,keithrichardsundertheinfluence2015,"99, 10402",360341,en,1.949,2015-09-18,6.8,35
tt4901306,perfect strangers,perfetti sconosciuti,97.0,"comedy,drama",7.8,45614,comedy,perfectstrangers2016,"35, 18",381341,it,9.731,2016-04-14,7.9,2479
tt4901390,bleeding black & yellow: the ultraviolent dream,bleeding black & yellow: the ultraviolent dream,110.0,documentary,7.8,5,documentary,bleedingblackyellowtheultraviolentdream2015,99,355475,en,0.6,2015-08-22,6.0,1
tt4902012,hurricane of fun: the making of wet hot,hurricane of fun: the making of wet hot,64.0,documentary,7.0,1401,documentary,hurricaneoffunthemakingofwethot2015,99,352552,en,2.521,2015-07-31,6.6,31
