genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,primary_genre
"53, 10770",491487,en,you killed my mother,0.696,2017-12-07,you killed my mother,5.0,1,2017,thriller
99,492184,en,ladies first,0.695,2017-07-07,ladies first,8.2,9,2017,documentary
"35, 27, 53",481061,en,the midnight man,0.695,2017-10-03,the midnight man,6.0,2,2017,comedy
"53, 18",479491,hi,गली गुलेयन,0.694,2017-10-17,gali guleiyan,6.0,1,2017,thriller
99,479668,en,katy perry: will you be my witness?,0.693,2017-10-05,katy perry: will you be my witness?,10.0,1,2017,documentary
99,498842,en,bad binoculars,0.691,2017-12-05,bad binoculars,7.0,1,2017,documentary
"878, 28",551079,en,ghost source zero,0.69,2017-09-01,ghost source zero,10.0,1,2017,science_fiction
99,457020,en,logic's everybody documentary,0.69,2017-05-05,logic's everybody documentary,10.0,2,2017,documentary
35,487941,en,bravengers: age of buldgetron,0.69,2017-08-08,bravengers: age of buldgetron,2.0,1,2017,comedy
99,449253,en,"burn motherfucker, burn!",0.689,2017-04-21,"burn motherfucker, burn!",6.0,1,2017,documentary
"28, 18, 37",521639,en,county line,0.689,2017-06-16,county line,4.5,2,2017,action
99,425436,en,this was the xfl,0.688,2017-02-02,this was the xfl,8.0,1,2017,documentary
"99, 27",459210,en,the mothman of point pleasant,0.688,2017-05-25,the mothman of point pleasant,5.8,6,2017,documentary
"10749, 35",472840,en,vikes,0.687,2017-08-26,vikes,6.5,2,2017,romance
"18, 35",199734,en,5-25-77,0.687,2017-05-25,5-25-77,6.0,1,2017,drama
"10752, 18",416500,en,battle scars,0.687,2017-07-14,battle scars,2.0,2,2017,war
99,411011,en,the b-side: elsa dorfman's portrait photography,0.686,2017-06-02,the b-side: elsa dorfman's portrait photography,7.0,4,2017,documentary
"18, 10752",454430,en,joe's war,0.685,2017-03-17,joe's war,4.0,1,2017,drama
18,565339,en,ambition's debt,0.683,2017-01-01,ambition's debt,10.0,1,2017,drama
35,441425,en,kinda funny live 2,0.683,2017-01-09,kinda funny live 2,10.0,1,2017,comedy
99,461847,en,mr. gay syria,0.683,2017-10-19,mr. gay syria,7.0,1,2017,documentary
35,450498,en,don't ever change,0.683,2017-04-29,don't ever change,6.0,2,2017,comedy
18,493573,en,spring awakening,0.682,2017-12-19,spring awakening,9.5,2,2017,drama
