genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,primary_genre
99,71771,en,knuckle,3.493,2011-12-09,knuckle,5.4,16,2011,documentary
"35, 10749",61293,ru,sluzhebnyy roman. nashe vremya,3.484,2011-11-11,office romance. our time,3.9,18,2011,comedy
99,77801,en,miss representation,3.479,2011-01-20,miss representation,7.7,45,2011,documentary
"18, 28, 36, 10752",69310,zh,建黨偉業,3.472,2011-01-01,beginning of the great revival,4.3,13,2011,drama
"35, 18, 10749",82698,hi,ladies vs ricky bahl,3.462,2011-12-09,ladies vs ricky bahl,6.0,40,2011,comedy
"12, 16",86412,en,the fantastic flying books of mr morris lessmore,3.454,2011-01-30,the fantastic flying books of mr morris lessmore,7.7,57,2011,adventure
"878, 53",73362,en,tron: the next day,3.449,2011-03-14,tron: the next day,5.4,39,2011,science_fiction
"27, 53",70574,en,a haunting in salem,3.43,2011-08-23,a haunting in salem,3.8,15,2011,horror
"18, 10751, 14",81033,en,the good witch's family,3.417,2011-10-29,the good witch's family,6.5,37,2011,drama
18,49850,it,una vita tranquilla,3.416,2011-03-04,a quiet life,6.6,63,2011,drama
53,40911,zh,艋舺,3.415,2011-01-11,monga,6.6,22,2011,thriller
35,55632,en,peep world,3.413,2011-03-25,peep world,5.0,26,2011,comedy
"12, 18",54517,de,dschungelkind,3.412,2011-03-03,jungle child,7.3,19,2011,adventure
"35, 18",90122,en,the trouble with bliss,3.405,2011-10-01,the trouble with bliss,4.5,24,2011,comedy
99,72721,es,nostalgia de la luz,3.401,2011-03-17,nostalgia for the light,7.8,58,2011,documentary
27,125040,en,knock knock 2,3.394,2011-10-13,knock knock 2,3.0,8,2011,horror
35,75190,en,jeff dunham: controlled chaos,3.392,2011-09-27,jeff dunham: controlled chaos,6.5,27,2011,comedy
27,85880,en,killer eye: halloween haunt,3.392,2011-10-18,killer eye: halloween haunt,2.5,8,2011,horror
"18, 27, 9648, 53",56180,es,la casa muda,3.383,2011-01-27,the silent house,5.7,72,2011,drama
"18, 28, 53, 878",78088,en,earthling,3.381,2011-03-14,earthling,3.3,10,2011,drama
"35, 18",92965,en,the shore,3.37,2011-02-10,the shore,5.5,12,2011,comedy
"12, 18, 10749",98644,en,here,3.347,2011-01-21,here,5.5,13,2011,adventure
99,56591,en,corman's world: exploits of a hollywood rebel,3.346,2011-01-21,corman's world: exploits of a hollywood rebel,7.4,29,2011,documentary
16,124277,en,the maker,3.318,2011-06-23,the maker,7.8,63,2011,animation
"28, 53",68995,en,born to ride,3.304,2011-06-26,born to ride,4.4,8,2011,action
"10751, 18",60895,en,beyond the blackboard,3.291,2011-04-24,beyond the blackboard,7.5,29,2011,family
16,79089,en,assassin's creed: embers,3.276,2011-11-15,assassin's creed: embers,6.8,56,2011,animation
"18, 10751",91979,en,will,3.273,2011-11-04,will,6.8,30,2011,drama
"27, 53",71033,en,the orphan killer,3.273,2011-11-01,the orphan killer,3.6,16,2011,horror
"28, 12, 9648",153998,en,robin hood: ghosts of sherwood,3.271,2011-11-12,robin hood: ghosts of sherwood,3.0,5,2011,action
16,82530,en,the pig who cried werewolf,3.266,2011-10-04,the pig who cried werewolf,6.2,25,2011,animation
"27, 878",59852,en,blinky™,3.255,2011-03-21,blinky™,6.8,52,2011,horror
18,114286,es,memoria de mis putas tristes,3.254,2011-11-11,memories of my melancholy whores,6.7,13,2011,drama
35,75438,ru,беременный,3.236,2011-11-11,beremennyy,2.4,11,2011,comedy
"28, 878",73144,en,portal: no escape,3.233,2011-08-23,portal: no escape,7.1,52,2011,action
18,64566,en,cinema verite,3.233,2011-04-23,cinema verite,5.9,29,2011,drama
10402,79931,en,adele: live at the royal albert hall,3.226,2011-11-29,adele: live at the royal albert hall,7.3,34,2011,music
"80, 18, 10770",58105,en,amanda knox: murder on trial in italy,3.215,2011-02-21,amanda knox: murder on trial in italy,6.1,50,2011,crime
35,111894,en,the love guide,3.21,2011-10-15,the love guide,4.4,8,2011,comedy
"18, 53",79123,en,little murder,3.208,2011-01-08,little murder,4.8,11,2011,drama
"27, 28, 53, 878",71112,en,the tenant,3.203,2011-08-19,the tenant,3.1,7,2011,horror
35,75874,en,patton oswalt: finest hour,3.188,2011-09-05,patton oswalt: finest hour,7.6,7,2011,comedy
"28, 35, 27",63350,en,father's day,3.186,2011-06-19,father's day,5.9,37,2011,action
"878, 53",136476,pt,state of emergency,3.174,2011-01-01,state of emergency,4.4,34,2011,science_fiction
"27, 35, 878",110588,en,gingerdead man 3: saturday night cleaver,3.172,2011-09-13,gingerdead man 3: saturday night cleaver,4.8,13,2011,horror
"28, 35, 878",99220,en,alien opponent,3.166,2011-08-05,alien opponent,5.9,8,2011,action
99,65058,en,conan o'brien can't stop,3.161,2011-06-24,conan o'brien can't stop,6.6,57,2011,documentary
"35, 10402",88491,ru,шапито-шоу,3.149,2011-12-20,chapiteau-show,6.5,16,2011,comedy
"35, 27",73933,en,monster brawl,3.142,2011-01-01,monster brawl,4.3,27,2011,comedy
"10402, 99",70342,en,beats rhymes & life: the travels of a tribe called quest,3.126,2011-07-08,beats rhymes & life: the travels of a tribe called quest,7.1,25,2011,music
"99, 10402",72744,en,pearl jam: twenty,3.125,2011-09-20,pearl jam: twenty,8.2,52,2011,documentary
27,78308,en,blood runs cold,3.123,2011-10-03,blood runs cold,5.0,15,2011,horror
"10402, 35",62934,en,fight for your right revisited,3.112,2011-04-22,fight for your right revisited,6.6,34,2011,music
"18, 10749, 10751",81450,en,love begins,3.106,2011-09-17,love begins,7.3,8,2011,drama
35,104226,en,bikini time machine,3.101,2011-03-15,bikini time machine,7.7,6,2011,comedy
27,149148,en,dead inside,3.085,2011-11-10,dead inside,3.8,8,2011,horror
18,63139,en,all things fall apart,3.079,2011-03-05,all things fall apart,5.6,33,2011,drama
"18, 36",57829,pl,młyn i krzyż,3.078,2011-03-18,the mill and the cross,6.4,44,2011,drama
"35, 10751, 14",25797,nl,minoes,3.071,2011-12-23,miss minoes,6.9,37,2011,comedy
"10749, 35, 18",70588,en,the myth of the american sleepover,3.066,2011-07-22,the myth of the american sleepover,6.2,47,2011,romance
"18, 878, 53",95056,en,i'm not jesus mommy,3.051,2011-05-06,i'm not jesus mommy,4.0,6,2011,drama
"28, 18",83975,en,"atlantis: end of a world, birth of a legend",3.046,2011-01-01,"atlantis: end of a world, birth of a legend",6.0,14,2011,action
27,155706,en,the speak,3.044,2011-01-06,the speak,3.5,8,2011,horror
35,63943,en,west is west,3.035,2010-11-02,west is west,6.6,23,2010,comedy
"10770, 10749, 18",61348,en,the lost valentine,3.032,2011-01-30,the lost valentine,7.4,60,2011,10770
18,17347,nl,bride flight,3.032,2011-06-10,bride flight,7.1,16,2011,drama
"35, 18, 10749",73565,en,burning man,3.032,2011-09-10,burning man,6.2,29,2011,comedy
"18, 27, 878",111901,en,the collapsed,3.032,2011-07-02,the collapsed,3.8,16,2011,drama
"28, 18, 10751",79699,en,a warrior's heart,3.02,2011-12-02,a warrior's heart,5.2,38,2011,action
878,65945,en,red faction: origins,3.011,2011-06-04,red faction: origins,5.3,30,2011,science_fiction
"35, 18",59439,en,natural selection,2.997,2011-03-13,natural selection,6.3,13,2011,comedy
99,91921,en,ecstasy of order: the tetris masters,2.994,2011-10-21,ecstasy of order: the tetris masters,6.9,25,2011,documentary
"18, 10751",92967,de,raju,2.992,2011-06-22,raju,6.4,5,2011,drama
35,65997,de,vampires,2.989,2011-07-01,vampires,6.0,12,2011,comedy
"10770, 28, 878",86971,en,miami magma,2.989,2011-12-01,miami magma,4.6,17,2011,10770
"28, 27",85133,en,zombie apocalypse: redemption,2.983,2011-03-31,zombie apocalypse: redemption,3.6,5,2011,action
53,73661,en,munger road,2.974,2011-09-30,munger road,4.3,16,2011,thriller
"18, 27, 53",81972,en,the hunters,2.973,2011-12-27,the hunters,3.7,19,2011,drama
"53, 27",57733,en,respire,2.965,2011-01-01,respire,5.4,9,2011,thriller
"28, 878, 10770",85949,en,collision earth,2.962,2011-03-24,collision earth,4.9,17,2011,action
"53, 27, 9648",128558,en,death of the virgin,2.961,2011-06-11,death of the virgin,5.9,4,2011,thriller
"35, 10749",85317,ru,ёлки 2,2.954,2011-12-20,six degrees of celebration 2,6.7,31,2011,comedy
27,71392,en,vampire boys,2.954,2011-01-01,vampire boys,4.1,9,2011,horror
"10752, 16, 35",58760,en,jackboots on whitehall,2.953,2011-07-26,jackboots on whitehall,5.1,16,2011,war
"27, 878, 53",122372,en,the ghostmaker,2.946,2011-08-01,the ghostmaker,5.0,28,2011,horror
"99, 36",70862,en,american grindhouse,2.942,2011-02-04,american grindhouse,6.9,35,2011,documentary
"27, 53",77812,en,the hike,2.94,2011-09-30,the hike,3.9,25,2011,horror
35,61400,hi,thank you,2.925,2011-04-08,thank you,5.2,30,2011,comedy
35,83125,en,the color wheel,2.922,2011-04-01,the color wheel,6.4,17,2011,comedy
18,82929,en,in the family,2.895,2011-11-04,in the family,7.1,15,2011,drama
35,57941,en,eddie izzard: live at madison square garden,2.891,2011-01-15,eddie izzard: live at madison square garden,7.1,9,2011,comedy
"27, 53",50272,es,somos lo que hay,2.889,2011-02-18,we are what we are,5.8,38,2011,horror
99,109581,en,mission to lars,2.88,2015-09-25,mission to lars,6.3,9,2015,documentary
"35, 10749",78309,en,answer this!,2.872,2011-10-13,answer this!,4.8,9,2011,comedy
35,76815,en,barely legal,2.872,2011-07-26,barely legal,3.8,29,2011,comedy
"18, 10770",108251,en,girl fight,2.863,2011-10-03,girl fight,6.3,18,2011,drama
18,65953,en,gun hill road,2.863,2011-08-05,gun hill road,6.0,9,2011,drama
18,60421,fa,circumstance,2.86,2011-08-26,circumstance,6.9,45,2011,drama
"12, 16, 28",63686,en,thor: tales of asgard,2.858,2011-05-17,thor: tales of asgard,6.2,75,2011,adventure
35,57889,ru,самый лучший фильм 3-дэ,2.857,2011-11-11,the best movie 3-de,3.0,8,2011,comedy
18,68335,en,now & later,2.843,2009-02-18,now & later,5.1,15,2009,drama
"80, 18",87108,en,few options,2.839,2011-07-01,few options,3.0,1,2011,crime
35,296192,en,comedy central roast of charlie sheen,2.838,2011-09-19,comedy central roast of charlie sheen,7.4,38,2011,comedy
"878, 14",286328,en,emmanuelle through time: emmanuelle's skin city,2.838,2011-10-06,emmanuelle through time: emmanuelle's skin city,7.0,3,2011,science_fiction
"28, 878",82756,en,the terror beneath,2.838,2011-10-08,the terror beneath,4.0,12,2011,action
53,109230,en,the eves,2.832,2011-04-30,the eves,5.7,5,2011,thriller
"99, 10402",79201,en,god bless ozzy osbourne,2.828,2011-04-24,god bless ozzy osbourne,7.0,13,2011,documentary
99,83891,en,unauthorized: the harvey weinstein project,2.819,2011-10-07,unauthorized: the harvey weinstein project,5.1,8,2011,documentary
16,118249,en,thriller night,2.809,2011-09-13,thriller night,6.5,15,2011,animation
"18, 35, 10749",87820,en,uncle kent,2.806,2011-01-17,uncle kent,6.2,8,2011,drama
"36, 28, 18",45075,ko,구르믈 버서난 달처럼,2.797,2011-09-13,blades of blood,6.2,18,2011,history
"18, 36",48573,en,lope,2.794,2011-01-09,lope,5.4,15,2011,drama
"35, 18",77261,en,five,2.792,2011-10-10,five,7.2,15,2011,comedy
18,67943,no,jeg reiser alene,2.783,2011-12-03,i travel alone,6.1,11,2011,drama
"18, 10749",55151,ro,"marți, după crăciun",2.775,2011-05-25,"tuesday, after christmas",6.8,20,2011,drama
"35, 18",91930,en,the perfect family,2.773,2011-04-30,the perfect family,4.7,12,2011,comedy
"18, 28, 878",120370,en,three inches,2.772,2011-12-29,three inches,6.0,7,2011,drama
53,204973,en,venom,2.758,2011-07-15,venom,4.3,6,2011,thriller
878,80201,en,storm war,2.754,2011-11-26,storm war,3.5,11,2011,science_fiction
"14, 28, 878",75507,en,dragon crusaders,2.752,2011-09-27,dragon crusaders,2.4,14,2011,fantasy
27,74328,en,ice road terror,2.749,2011-07-11,ice road terror,3.7,12,2011,horror
"27, 37",71548,en,the dead and the damned,2.736,2011-07-26,the dead and the damned,3.0,11,2011,horror
18,70925,en,oranges and sunshine,2.726,2011-10-21,oranges and sunshine,7.2,43,2011,drama
"18, 10749",42679,it,giulia non esce la sera,2.726,2011-02-01,giulia doesn't date at night,6.6,21,2011,drama
"18, 27, 28, 53, 878",70583,en,empty,2.724,2011-01-25,empty,3.9,11,2011,drama
"18, 35",72551,he,הערת שוליים,2.721,2011-05-25,footnote,7.3,30,2011,drama
"18, 36, 10751, 10749",31185,zh,白銀帝國,2.72,2011-06-03,empire of silver,5.8,5,2011,drama
"99, 10770",76360,en,6 days to air: the making of south park,2.718,2011-10-09,6 days to air: the making of south park,7.5,52,2011,documentary
"10751, 16, 14",227257,en,monster high: fright on!,2.717,2011-10-31,monster high: fright on!,6.0,18,2011,family
"16, 35",113736,en,i tawt i taw a puddy tat,2.71,2011-11-17,i tawt i taw a puddy tat,6.2,12,2011,animation
"99, 36",86726,en,under the boardwalk: the monopoly story,2.703,2011-03-04,under the boardwalk: the monopoly story,6.2,14,2011,documentary
"35, 10749",83754,ko,너는 펫,2.703,2011-11-10,you are my pet,6.1,38,2011,comedy
18,150065,en,yelling to the sky,2.7,2011-03-11,yelling to the sky,5.4,9,2011,drama
99,83938,en,scream: the inside story,2.697,2011-04-06,scream: the inside story,6.7,11,2011,documentary
99,53505,en,the last lions,2.686,2011-02-11,the last lions,7.6,25,2011,documentary
"878, 18",287940,en,night sights,2.683,2011-12-31,night sights,3.4,9,2011,science_fiction
27,52413,ko,여고괴담 5: 동반자살,2.675,2011-02-08,a blood pledge,5.0,17,2011,horror
"53, 18, 28",48417,cn,綫人,2.662,2011-04-24,the stool pigeon,5.7,23,2011,thriller
35,63447,no,amors baller,2.654,2011-06-06,cupid's balls,5.3,10,2011,comedy
"27, 878",55248,en,behemoth,2.647,2011-01-15,behemoth,4.4,17,2011,horror
"35, 28",58679,zh,刀见笑,2.642,2011-03-17,"the butcher, the chef, and the swordsman",5.5,12,2011,comedy
35,85944,en,tom papa: live in new york city,2.64,2011-07-01,tom papa: live in new york city,5.9,7,2011,comedy
"18, 878, 53, 27",77444,en,the corridor,2.634,2012-03-30,the corridor,5.1,28,2012,drama
"80, 18, 28, 53, 9648",78224,en,certain prey,2.632,2011-11-06,certain prey,4.5,11,2011,crime
"18, 53, 10749",61294,ru,you and i,2.629,2011-01-31,you and i,4.9,25,2011,drama
35,65892,en,my future boyfriend,2.623,2011-04-10,my future boyfriend,5.1,33,2011,comedy
"18, 10749",88752,zh,當愛來的時候,2.621,2011-03-11,when love comes,7.3,10,2011,drama
"35, 18",62069,sv,fyra år till,2.621,2011-06-20,four more years,6.7,10,2011,comedy
"35, 18",57400,fr,shlichuto shel hamemune al mashabei enosh,2.62,2011-03-04,the human resources manager,6.9,10,2011,comedy
"35, 18",76175,de,hotel lux,2.619,2011-12-20,hotel lux,5.9,25,2011,comedy
"18, 27, 28, 53",84449,en,remains,2.618,2011-12-06,remains,4.6,30,2011,drama
"35, 18, 10749",60098,ko,하하하,2.611,2011-04-22,hahaha,6.6,16,2011,comedy
"35, 10749",82685,en,division iii: football's finest,2.607,2011-10-14,division iii: football's finest,4.3,25,2011,comedy
"12, 27, 53",129798,en,the crying dead,2.603,2011-10-31,the crying dead,4.0,9,2011,adventure
"18, 28, 53",58959,ko,무적자,2.593,2011-11-08,a better tomorrow,6.1,27,2011,drama
"35, 10749, 14",85729,ru,moy paren - angel,2.589,2011-12-25,my boyfriend an angel,6.7,7,2011,comedy
"35, 18, 10749, 10770",145312,en,dear santa,2.586,2011-08-11,dear santa,6.8,54,2011,comedy
"10751, 14, 27",75862,en,the great ghost rescue,2.582,2011-10-04,the great ghost rescue,4.9,12,2011,family
"28, 10751",58448,en,knockout,2.575,2011-03-05,knockout,5.1,25,2011,action
27,70878,en,mimesis,2.573,2011-10-07,mimesis,3.8,18,2011,horror
18,79919,de,stadt land fluss,2.57,2011-06-23,harvest,7.0,20,2011,drama
"18, 35, 10749",63555,es,año bisiesto,2.563,2011-06-24,leap year,5.6,30,2011,drama
"27, 9648, 14, 28",42916,en,fading of the cries,2.559,2011-07-08,fading of the cries,3.6,16,2011,horror
"16, 12, 10751, 35",81670,en,jock of the bushveld,2.554,2011-07-29,jock of the bushveld,4.2,7,2011,animation
"35, 27",67655,en,bloodlust zombies,2.553,2011-07-05,bloodlust zombies,2.8,7,2011,comedy
35,72951,en,not another not another movie,2.551,2011-10-17,not another not another movie,2.6,13,2011,comedy
35,57518,en,eddie griffin: you can tell 'em i said it,2.55,2011-02-19,eddie griffin: you can tell 'em i said it,6.5,9,2011,comedy
"35, 10749",65696,pl,"och, karol 2",2.548,2011-11-11,"och, karol 2",5.2,17,2011,comedy
35,83330,en,the catechism cataclysm,2.542,2011-10-19,the catechism cataclysm,3.9,8,2011,comedy
"10751, 18, 10749",81421,en,lucky christmas,2.54,2011-11-12,lucky christmas,5.3,14,2011,family
35,82510,en,hollywood sex wars,2.533,2011-10-03,hollywood sex wars,3.8,6,2011,comedy
35,56965,en,dirty movie,2.533,2011-02-15,dirty movie,3.2,22,2011,comedy
99,78220,en,igenius: how steve jobs changed the world,2.528,2011-11-16,igenius: how steve jobs changed the world,6.8,16,2011,documentary
"10770, 80, 9648, 53",63326,fr,the perfect student,2.525,2011-03-01,the perfect student,4.6,8,2011,10770
27,86075,de,jack the reaper,2.521,2011-01-01,jack the reaper,4.2,11,2011,horror
99,50081,en,born to be wild,2.519,2011-04-08,born to be wild,7.2,27,2011,documentary
878,80583,en,alien armageddon,2.511,2011-11-06,alien armageddon,2.1,16,2011,science_fiction
"18, 10751",44246,de,die fremde,2.51,2011-02-28,when we leave,6.7,31,2011,drama
18,82708,de,poll,2.507,2011-01-13,the poll diaries,7.0,11,2011,drama
16,222664,ja,水グモもんもん,2.5,2011-01-01,monmon the water spider,8.2,6,2011,animation
35,129790,en,the death and return of superman,2.495,2011-11-27,the death and return of superman,6.9,16,2011,comedy
"14, 878, 10770",64687,en,metal shifters,2.491,2011-02-12,metal shifters,3.4,24,2011,fantasy
28,77715,te,బద్రీనాధ్,2.478,2011-06-10,badrinath,5.3,6,2011,action
"18, 10749",72049,nl,black butterflies,2.461,2011-03-01,black butterflies,6.3,17,2011,drama
"28, 18, 35",80276,te,దూకుడు,2.46,2011-09-23,dookudu,6.1,12,2011,action
18,85441,ar,٦٧٨,2.457,2011-03-26,678,7.9,30,2011,drama
"80, 10770, 53",90756,en,wandering eye,2.457,2011-06-26,wandering eye,5.6,7,2011,crime
"18, 53, 10749",63142,en,silver tongues,2.447,2011-11-18,silver tongues,6.2,11,2011,drama
"53, 9648, 10749",101852,en,shuffle,2.446,2012-03-20,shuffle,6.6,16,2012,thriller
"35, 10749",77186,ru,пять невест,2.441,2011-11-11,five brides,6.0,10,2011,comedy
10402,75107,en,nirvana: live at the paramount,2.44,2011-09-26,nirvana: live at the paramount,8.5,14,2011,music
35,118354,fr,de l'huile sur le feu,2.44,2011-12-20,wok the kasbah,4.4,21,2011,comedy
99,75442,en,eames: the architect & the painter,2.433,2011-11-18,eames: the architect & the painter,6.9,20,2011,documentary
18,86549,en,august,2.433,2011-06-09,august,6.6,19,2011,drama
"18, 9648, 53",58258,en,the chameleon,2.426,2011-07-08,the chameleon,5.3,23,2011,drama
"10749, 10770",129120,en,smooch,2.423,2011-02-05,smooch,6.0,20,2011,romance
"53, 27, 28",58718,en,siren,2.42,2011-03-22,siren,4.1,27,2011,thriller
99,80337,en,these amazing shadows,2.415,2011-01-22,these amazing shadows,7.6,36,2011,documentary
27,65214,en,dead hooker in a trunk,2.411,2011-08-03,dead hooker in a trunk,5.1,12,2011,horror
"27, 878",53101,en,manborg,2.406,2011-09-22,manborg,5.2,36,2011,horror
"53, 18",82492,en,on the ice,2.404,2012-02-17,on the ice,6.8,11,2012,thriller
99,74310,en,hell and back again,2.403,2011-10-04,hell and back again,6.5,24,2011,documentary
"10402, 18",66767,en,beat the world,2.402,2011-06-10,beat the world,4.9,27,2011,music
99,82620,en,undefeated,2.397,2011-03-13,undefeated,7.7,37,2011,documentary
10749,65345,en,longhorns,2.394,2011-06-25,longhorns,5.5,19,2011,romance
"28, 53",86709,en,last man standing,2.394,2011-06-07,last man standing,4.4,11,2011,action
"28, 53, 878",83192,ja,gokudô heiki,2.379,2011-07-09,yakuza weapon,4.0,4,2011,action
"18, 53",169730,en,amber lake,2.376,2011-10-11,amber lake,5.7,3,2011,drama
"99, 35",85593,en,bag it,2.369,2011-09-01,bag it,5.5,5,2011,documentary
35,61014,en,your love never fails,2.365,2011-04-05,your love never fails,4.6,18,2011,comedy
"10770, 10749",87313,en,love's christmas journey,2.364,2011-11-05,love's christmas journey,6.0,11,2011,10770
99,70845,en,there's something wrong with aunt diane,2.359,2011-07-25,there's something wrong with aunt diane,6.9,37,2011,documentary
"10751, 35, 10749",137475,en,3 holiday tails,2.359,2011-11-15,3 holiday tails,5.4,15,2011,family
"28, 18, 53",89593,en,jerusalem countdown,2.357,2011-08-26,jerusalem countdown,5.0,11,2011,action
"18, 10751, 10770",79987,en,christmas lodge,2.353,2011-10-11,christmas lodge,5.1,17,2011,drama
"18, 10751",61038,en,go for it!,2.352,2011-05-13,go for it!,6.0,10,2011,drama
"27, 878",76635,en,"battle: new york, day 2",2.348,2011-11-21,"battle: new york, day 2",1.0,6,2011,horror
99,57510,en,ethos,2.347,2011-01-01,ethos,6.7,8,2011,documentary
"18, 28, 35",57393,en,africa united,2.341,2011-06-15,africa united,6.5,16,2011,drama
35,119197,en,let go,2.334,2011-10-25,let go,5.6,9,2011,comedy
18,98932,en,the eye of the storm,2.329,2011-09-07,the eye of the storm,5.4,11,2011,drama
"18, 10770",116853,en,the bling ring,2.325,2011-09-26,the bling ring,4.2,28,2011,drama
"16, 18",16516,ja,劇場版 clannad -クラナド-,2.324,2011-03-15,clannad,6.7,32,2011,animation
"18, 10749",103516,en,private romeo,2.324,2011-06-20,private romeo,5.6,30,2011,drama
99,70808,de,klitschko,2.323,2011-10-21,klitschko,6.6,24,2011,documentary
"16, 10751",73829,en,thomas & friends: day of the diesels,2.323,2011-09-06,thomas & friends: day of the diesels,6.0,6,2011,animation
"27, 53",58792,en,breadcrumbs,2.319,2011-01-25,breadcrumbs,3.9,16,2011,horror
"18, 28, 10751",71482,no,jørgen + anne = sant,2.317,2011-03-03,totally true love,6.6,20,2011,drama
"35, 18",107753,en,collaborator,2.316,2011-10-08,collaborator,5.3,6,2011,comedy
18,76800,en,the last rites of joe may,2.313,2011-10-28,the last rites of joe may,6.2,9,2011,drama
"35, 10749",68202,en,without men,2.312,2011-06-29,without men,4.5,13,2011,comedy
18,62116,fr,"nannerl, la soeur de mozart",2.309,2011-08-19,mozart's sister,6.5,16,2011,drama
99,79976,en,steve jobs: one last thing,2.294,2011-11-02,steve jobs: one last thing,6.6,18,2011,documentary
27,83473,en,7 nights of darkness,2.294,2011-11-08,7 nights of darkness,4.4,16,2011,horror
"35, 878",67958,ru,"суперменеджер, или мотыга судьбы",2.293,2011-11-11,"supermanager, or hack of the fate",4.4,5,2011,comedy
"28, 36, 10752",61346,en,pathfinders: in the company of strangers,2.292,2011-01-11,pathfinders: in the company of strangers,4.3,21,2011,action
27,71326,en,bunnyman,2.292,2011-06-20,bunnyman,2.9,17,2011,horror
18,44160,en,bal,2.288,2011-03-25,honey,7.1,39,2011,drama
"18, 53",51490,en,on the inside,2.285,2011-12-31,on the inside,4.9,21,2011,drama
35,47845,de,12 meter ohne kopf,2.284,2011-05-20,12 paces without a head,7.2,9,2011,comedy
"28, 18, 10751, 36, 10752",105945,en,memorial day,2.279,2011-06-06,memorial day,5.9,25,2011,action
"18, 53",77240,en,betrayed at 17,2.272,2011-10-09,betrayed at 17,5.2,6,2011,drama
18,80299,en,man on the train,2.271,2011-10-28,man on the train,5.6,7,2011,drama
"28, 36, 18",37472,cn,葉問2,2.268,2011-01-28,ip man 2,7.3,1053,2011,action
"53, 80",69794,en,small town murder songs,2.261,2011-05-06,small town murder songs,5.4,28,2011,thriller
"18, 53, 9648, 10749",87425,en,apart,2.261,2011-03-09,apart,3.6,5,2011,drama
"18, 28, 10752",55998,ru,tikhaya zastava,2.259,2011-02-02,a quiet outpost,4.5,6,2011,drama
35,99581,en,pentecost,2.258,2011-02-10,pentecost,6.6,7,2011,comedy
"53, 80, 878",78339,en,memory lane,2.252,2011-10-22,memory lane,4.4,14,2011,thriller
18,78555,en,possessing piper rose,2.246,2011-10-24,possessing piper rose,4.3,8,2011,drama
"10770, 10751",81420,en,christmas magic,2.241,2011-12-18,christmas magic,6.9,21,2011,10770
"10749, 35, 12",71830,fr,"les aventures de philibert, capitaine puceau",2.219,2011-06-10,"the adventures of philibert, captain virgin",5.8,13,2011,romance
18,70692,en,taken from me: the tiffany rubin story,2.218,2011-01-31,taken from me: the tiffany rubin story,7.4,9,2011,drama
"10749, 18",52475,de,goethe!,2.218,2011-11-04,young goethe in love,6.0,32,2011,romance
99,63144,en,page one: inside the new york times,2.216,2011-04-29,page one: inside the new york times,6.9,31,2011,documentary
"10749, 18",50493,en,brilliantlove,2.215,2010-04-23,brilliantlove,4.7,7,2010,romance
18,81527,ro,aurora,2.211,2011-06-29,aurora,5.8,11,2011,drama
"27, 35",89403,en,dear god no!,2.211,2011-10-21,dear god no!,3.5,17,2011,horror
"18, 53, 10749",26864,es,el niño pez,2.202,2011-07-26,the fish child,6.5,24,2011,drama
"9648, 53",42707,en,road to nowhere,2.201,2011-06-10,road to nowhere,5.4,23,2011,mystery
"878, 27, 53",79582,en,aliens vs. avatars,2.199,2011-09-20,aliens vs. avatars,2.4,12,2011,science_fiction
10751,50119,en,cool dog,2.198,2011-01-04,cool dog,4.8,12,2011,family
"35, 10749",83403,en,conception,2.187,2011-01-01,conception,4.5,12,2011,comedy
"28, 12, 53",77485,en,3 musketeers,2.187,2011-10-25,3 musketeers,3.7,9,2011,action
"35, 18, 53",81694,en,suing the devil,2.182,2011-08-26,suing the devil,3.7,20,2011,comedy
99,85807,en,the real rocky,2.177,2011-10-25,the real rocky,6.3,12,2011,documentary
99,123928,de,gettysburg,2.176,2011-05-30,gettysburg,5.5,5,2011,documentary
99,67273,en,buck,2.172,2011-06-17,buck,7.3,22,2011,documentary
27,84520,en,the bunny game,2.165,2011-01-01,the bunny game,4.3,36,2011,horror
"12, 878",81179,en,snowmageddon,2.16,2011-12-10,snowmageddon,4.7,17,2011,adventure
"99, 80, 36",79042,nl,if a tree falls: a story of the earth liberation front,2.153,2011-06-22,if a tree falls: a story of the earth liberation front,6.5,16,2011,documentary
35,335642,en,charlie brown's blockhead revenge,2.15,2011-10-31,charlie brown's blockhead revenge,6.3,13,2011,comedy
"35, 18",88057,en,a beginner's guide to endings,2.149,2011-04-01,a beginner's guide to endings,6.3,17,2011,comedy
"18, 36",83728,en,the broken tower,2.149,2012-04-27,the broken tower,6.3,12,2012,drama
"35, 18",192690,en,act naturally,2.147,2011-03-22,act naturally,5.8,5,2011,comedy
"99, 10402",74406,en,queen: days of our lives,2.144,2011-06-27,queen: days of our lives,7.9,38,2011,documentary
"99, 18",83732,en,bombay beach,2.143,2011-10-14,bombay beach,6.5,9,2011,documentary
18,54897,en,the grace card,2.142,2011-02-25,the grace card,6.5,18,2011,drama
18,59728,en,the 5th quarter,2.142,2011-03-25,the 5th quarter,4.7,15,2011,drama
"28, 18",81298,ru,бой с тенью 3: последний раунд,2.141,2011-12-12,shadow boxing 3. the final round,5.7,12,2011,action
99,82686,en,jane's journey,2.132,2011-09-06,jane's journey,4.6,4,2011,documentary
18,151866,en,a warm wind,2.122,2011-11-15,a warm wind,6.0,4,2011,drama
"18, 9648",83388,fr,american translation,2.118,2011-10-24,american translation,6.5,15,2011,drama
