id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,release_year,foreign_gross,movie_id,movie_id2
48,2002-07-12,halloween: resurrection,15000000,30259652,37659652,2002,7400000,halloweenresurrection20020712,halloween: resurrection2002
49,2007-12-25,the great debaters,15000000,30226144,30261293,2007,35149,thegreatdebaters20071225,the great debaters2007
50,2014-08-22,when the game stands tall,15000000,30127963,30138912,2014,10949,whenthegamestandstall20140822,when the game stands tall2014
52,2004-02-20,confessions of a teenage drama queen,15000000,29331068,33118854,2004,3787786,confessionsofateenagedramaqueen20040220,confessions of a teenage drama queen2004
54,2007-05-11,28 weeks later,15000000,28638916,64232714,2007,35593798,28weekslater20070511,28 weeks later2007
56,2000-04-21,love and basketball,15000000,27441122,27709625,2000,268503,loveandbasketball20000421,love and basketball2000
57,2017-09-08,home again,15000000,27020284,37336874,2017,10316590,homeagain20170908,home again2017
58,2000-10-27,book of shadows: blair witch 2,15000000,26421314,47721314,2000,21300000,bookofshadowsblairwitch220001027,book of shadows: blair witch 22000
60,2010-07-23,ramona and beezus,15000000,26167002,27469621,2010,1302619,ramonaandbeezus20100723,ramona and beezus2010
61,2014-08-27,the november man,15000000,25018119,34820335,2014,9802216,thenovemberman20140827,the november man2014
63,2005-12-28,match point,15000000,23089926,87973835,2005,64883909,matchpoint20051228,match point2005
66,2000-09-22,urban legends: final cut,15000000,21468807,38574362,2000,17105555,urbanlegendsfinalcut20000922,urban legends: final cut2000
67,2013-03-29,the place beyond the pines,15000000,21403519,47011449,2013,25607930,theplacebeyondthepines20130329,the place beyond the pines2013
68,2006-10-20,flicka,15000000,21000147,21896367,2006,896220,flicka20061020,flicka2006
69,2007-03-23,the hills have eyes ii,15000000,20804166,37466538,2007,16662372,thehillshaveeyesii20070323,the hills have eyes ii2007
70,2016-04-29,keanu,15000000,20591853,20688141,2016,96288,keanu20160429,keanu2016
71,2010-12-22,country strong,15000000,20218921,20601987,2010,383066,countrystrong20101222,country strong2010
72,2002-10-11,tuck everlasting,15000000,19161999,19344615,2002,182616,tuckeverlasting20021011,tuck everlasting2002
73,2006-10-13,the marine,15000000,18844784,22165608,2006,3320824,themarine20061013,the marine2006
76,2014-07-25,a most wanted man,15000000,17237855,36068890,2014,18831035,amostwantedman20140725,a most wanted man2014
77,2009-06-26,the hurt locker,15000000,17017811,49894223,2009,32876412,thehurtlocker20090626,the hurt locker2009
78,2000-01-28,eye of the beholder,15000000,16500786,18260865,2000,1760079,eyeofthebeholder20000128,eye of the beholder2000
79,2012-11-02,the man with the iron fists,15000000,15634090,22018988,2012,6384898,themanwiththeironfists20121102,the man with the iron fists2012
81,2019-02-01,miss bala,15000000,14998027,15362298,2019,364271,missbala20190201,miss bala2019
82,2012-11-30,killing them softly,15000000,14945541,39238443,2012,24292902,killingthemsoftly20121130,killing them softly2012
83,2001-04-20,freddy got fingered,15000000,14249005,14249005,2001,0,freddygotfingered20010420,freddy got fingered2001
84,2011-08-19,one day,15000000,13843771,59168692,2011,45324921,oneday20110819,one day2011
85,2004-06-25,de-lovely,15000000,13337299,18524496,2004,5187197,delovely20040625,de-lovely2004
86,2009-10-02,whip it,15000000,13077184,18889972,2009,5812788,whipit20091002,whip it2009
87,2008-01-11,the pirates who don't do anything: a veggietales movie,15000000,12981269,13248444,2008,267175,thepirateswhodontdoanythingaveggietalesmovie20080111,the pirates who don't do anything: a veggietales movie2008
88,2008-01-23,u2 3d,15000000,12898847,26170402,2008,13271555,u23d20080123,u2 3d2008
89,2000-09-01,highlander: endgame,15000000,12801190,12801190,2000,0,highlanderendgame20000901,highlander: endgame2000
90,2017-01-20,the founder,15000000,12786053,24403192,2017,11617139,thefounder20170120,the founder2017
91,2006-08-25,idlewild,15000000,12669914,12669914,2006,0,idlewild20060825,idlewild2006
92,2003-04-25,confidence,15000000,12212417,12212417,2003,0,confidence20030425,confidence2003
93,2002-10-11,knockaround guys,15000000,11660180,12419700,2002,759520,knockaroundguys20021011,knockaround guys2002
98,2000-03-24,here on earth,15000000,10494147,10845127,2000,350980,hereonearth20000324,here on earth2000
99,2004-10-08,raise your voice,15000000,10411980,14811980,2004,4400000,raiseyourvoice20041008,raise your voice2004
2,2007-03-02,black snake moan,15000000,9396870,10951153,2007,1554283,blacksnakemoan20070302,black snake moan2007
3,2003-02-21,dark blue,15000000,9237470,12262065,2003,3024595,darkblue20030221,dark blue2003
4,2007-06-22,a mighty heart,15000000,9176787,19153568,2007,9976781,amightyheart20070622,a mighty heart2007
6,2016-09-23,queen of katwe,15000000,8874389,10055481,2016,1181092,queenofkatwe20160923,queen of katwe2016
7,2000-03-24,whatever it takes,15000000,8735529,8735529,2000,0,whateverittakes20000324,whatever it takes2000
8,2003-03-21,boat trip,15000000,8586376,14933713,2003,6347337,boattrip20030321,boat trip2003
9,2002-05-22,the importance of being earnest,15000000,8378141,8378141,2002,0,theimportanceofbeingearnest20020522,the importance of being earnest2002
11,2006-05-05,hoot,15000000,8117637,8224998,2006,107361,hoot20060505,hoot2006
12,2008-02-08,in bruges,15000000,7800825,34533783,2008,26732958,inbruges20080208,in bruges2008
13,2013-01-04,promised land,15000000,7597898,12394562,2013,4796664,promisedland20130104,promised land2013
